date,open,high,low,close,volume
02-01-2014,19.8921,19.92,19.6537,19.8507,42756000
03-01-2014,19.8667,20.0871,19.7634,19.7744,44204000
06-01-2014,19.7449,19.8023,19.3743,19.6342,63412000
07-01-2014,19.7045,19.8756,19.6671,19.8537,38320000
08-01-2014,19.8756,20.1016,19.7544,20.0477,46330000
09-01-2014,20.137,20.2956,19.8741,20.0023,42060000
10-01-2014,20.0781,20.1397,19.6427,19.8352,53590000
13-01-2014,19.8512,19.941,19.3758,19.502,56898000
14-01-2014,19.5594,19.8836,19.5175,19.8292,46802000
15-01-2014,19.8991,19.9175,19.5795,19.7459,53566000
16-01-2014,19.6367,19.9165,19.4237,19.7425,52024000
17-01-2014,19.6656,20.126,19.6357,19.9325,90102000
21-01-2014,20.1016,20.341,20.0318,20.3036,62442000
22-01-2014,20.351,20.354,20.0517,20.1784,41210000
23-01-2014,20.0018,20.2597,19.8417,19.9455,60508000
24-01-2014,19.8602,19.9619,19.317,19.3334,89168000
27-01-2014,19.4781,19.6577,18.9788,19.2676,78736000
28-01-2014,19.3235,19.6896,19.3095,19.6741,57890000
29-01-2014,19.5609,19.5953,19.116,19.1638,67646000
30-01-2014,19.6412,20.2637,19.3384,20.1021,209478000
31-01-2014,18.5433,18.7274,17.845,17.8914,323096000
03-02-2014,17.9059,17.9991,16.9641,17.2659,205616000
04-02-2014,17.4375,17.6573,17.1597,17.3557,96258000
05-02-2014,17.2584,17.4265,16.8459,17.2809,88708000
06-02-2014,17.3284,17.6984,17.3284,17.6869,66714000
07-02-2014,17.9059,18.0465,17.5822,18.0106,86610000
10-02-2014,18.0371,18.2062,17.9243,18.0001,68994000
11-02-2014,18.0486,18.1368,17.7697,18.046,64442000
12-02-2014,17.7787,17.8445,17.2744,17.4205,131754000
13-02-2014,17.3432,17.8171,17.2834,17.8171,83500000
14-02-2014,17.9238,17.9238,17.6251,17.8246,70404000
18-02-2014,17.7213,17.7438,17.4305,17.64,99960000
19-02-2014,17.5896,17.6844,17.2634,17.3273,83362000
20-02-2014,17.3981,17.4809,17.1776,17.448,69856000
21-02-2014,17.5797,17.6645,17.2958,17.2963,84200000
24-02-2014,17.218,17.6076,17.1233,17.5467,72894000
25-02-2014,17.6076,18.0106,17.5368,17.873,74728000
26-02-2014,17.9498,18.1937,17.8156,17.9468,72442000
27-02-2014,17.8181,17.9862,17.7323,17.9632,62098000
28-02-2014,17.9867,18.2493,17.8113,18.0615,77640000
03-03-2014,17.8937,18.0046,17.6814,17.9458,55966000
04-03-2014,18.1513,18.2401,18.0795,18.1513,54088000
05-03-2014,18.1628,18.5916,18.1513,18.5738,76966000
06-03-2014,18.6576,18.7214,18.4007,18.5633,58532000
07-03-2014,18.684,18.7045,18.4322,18.5583,45596000
10-03-2014,18.5897,18.5917,18.3059,18.482,42116000
11-03-2014,18.5049,18.5952,18.3199,18.3967,44922000
12-03-2014,18.276,18.5134,18.1368,18.4875,44332000
13-03-2014,18.7858,19.1095,18.3598,18.5309,136580000
14-03-2014,18.5952,18.8829,18.5329,18.6421,88044000
17-03-2014,18.7409,18.897,18.699,18.7069,46060000
18-03-2014,18.8207,18.9045,18.7049,18.893,49670000
19-03-2014,18.893,18.9045,18.4266,18.6167,52934000
20-03-2014,18.4875,18.6052,18.267,18.4042,51170000
21-03-2014,18.5054,18.5972,17.8769,17.9877,108282000
24-03-2014,17.9612,18.0316,17.3881,17.5502,97470000
25-03-2014,17.659,17.9054,17.4001,17.6929,88914000
26-03-2014,17.8136,17.837,17.1287,17.1292,82414000
27-03-2014,17.1163,17.1587,16.5042,16.8828,115328000
28-03-2014,16.9616,17.3083,16.7636,16.8739,79736000
31-03-2014,17.0789,17.2729,16.6629,16.7778,85950000
01-04-2014,16.8639,17.1801,16.8594,17.1083,72002000
02-04-2014,17.2579,17.3729,16.9781,17.0569,89510000
03-04-2014,17.0499,17.0839,16.3835,16.6409,127986000
04-04-2014,16.7172,16.7317,15.7426,16.1112,250692000
07-04-2014,16.0109,16.208,15.6189,15.8498,141548000
08-04-2014,16.0553,16.3606,15.8837,16.3142,131552000
09-04-2014,16.384,16.5691,16.0863,16.5504,101132000
10-04-2014,16.4903,16.5102,15.787,15.8174,122534000
11-04-2014,15.6623,15.787,15.4378,15.5491,145750000
14-04-2014,15.8453,15.9855,15.5266,15.7575,85870000
15-04-2014,15.797,15.8758,15.2383,15.766,107972000
16-04-2014,16.0199,16.1611,15.6977,16.1451,85698000
17-04-2014,15.9496,16.3935,15.9496,16.2065,85984000
21-04-2014,16.1596,16.5177,16.0768,16.5038,59988000
22-04-2014,16.5601,16.8345,16.4075,16.4264,74232000
23-04-2014,16.613,16.6165,16.1306,16.19,72092000
24-04-2014,16.4439,16.8295,16.1087,16.817,185874000
25-04-2014,15.7745,15.7865,15.0991,15.155,323604000
28-04-2014,15.1635,15.1829,14.3654,14.7934,289596000
29-04-2014,14.7864,15.0557,14.4876,14.9829,130186000
30-04-2014,14.8692,15.1914,14.8692,15.17,81772000
01-05-2014,15.17,15.4867,15.1635,15.3575,86572000
02-05-2014,15.4837,15.6269,15.1789,15.3635,79902000
05-05-2014,15.2817,15.4742,15.2134,15.4653,50398000
06-05-2014,15.4393,15.4533,14.8163,14.8333,93646000
07-05-2014,14.7425,14.7844,14.2996,14.6003,140304000
08-05-2014,14.5061,14.7584,14.327,14.3814,76964000
09-05-2014,14.4936,14.6487,14.1848,14.5769,81260000
12-05-2014,14.6796,15.1306,14.6727,15.1066,74592000
13-05-2014,15.0936,15.2433,15.0014,15.1954,70198000
14-05-2014,15.0887,15.1954,14.7974,14.8452,66466000
15-05-2014,14.8652,14.9241,14.4841,14.724,85902000
16-05-2014,14.6048,14.9081,14.5425,14.8492,72736000
19-05-2014,14.7525,14.9141,14.6552,14.8021,45684000
20-05-2014,14.8193,15.1864,14.8019,15.0233,81914000
21-05-2014,15.0742,15.2612,15.0398,15.2139,68176000
22-05-2014,15.2159,15.3899,15.1141,15.2089,51536000
23-05-2014,15.2363,15.58,15.2084,15.5745,61058000
27-05-2014,15.6827,15.6937,15.3321,15.5037,97242000
28-05-2014,15.4378,15.6533,15.3341,15.4707,54520000
29-05-2014,15.4837,15.7057,15.4727,15.6513,47310000
30-05-2014,15.6837,15.6947,15.3416,15.59,85204000
02-06-2014,15.5919,15.5924,15.3131,15.4049,44068000
03-06-2014,15.2508,15.359,15.2169,15.3226,47584000
04-06-2014,15.3056,15.4378,15.1555,15.3021,42142000
05-06-2014,15.368,16.3576,15.3081,16.1396,155934000
06-06-2014,16.211,16.5042,16.2075,16.4439,104880000
09-06-2014,16.5387,16.61,16.2434,16.3357,64244000
10-06-2014,16.3431,16.7347,16.3357,16.5806,73268000
11-06-2014,16.7596,16.9951,16.6537,16.7197,88736000
12-06-2014,16.7372,16.7372,16.194,16.2563,85260000
13-06-2014,16.3132,16.4253,16.1374,16.2743,55296000
16-06-2014,16.204,16.3952,16.1371,16.3416,47922000
17-06-2014,16.3377,16.5272,16.2224,16.2419,58084000
18-06-2014,16.3606,16.7472,16.211,16.6788,128030000
19-06-2014,16.7225,16.9043,16.2598,16.3107,106412000
20-06-2014,16.3486,16.3716,15.9825,16.1711,121080000
23-06-2014,16.1277,16.3381,16.0319,16.3227,52096000
24-06-2014,16.3377,16.4469,16.0981,16.1691,52532000
25-06-2014,16.1775,16.3681,16.0483,16.3327,46556000
26-06-2014,16.385,16.393,16.0678,16.2454,53990000
27-06-2014,16.2549,16.2868,16.1247,16.1895,48324000
30-06-2014,16.21,16.3097,16.0733,16.2,53426000
01-07-2014,16.2539,16.62,16.2159,16.5796,63472000
02-07-2014,16.62,16.7975,16.5432,16.6025,53626000
03-07-2014,16.7013,16.8744,16.614,16.8341,38886000
07-07-2014,16.8345,16.8369,16.5861,16.6374,42578000
08-07-2014,16.615,16.6469,16.0314,16.1516,85432000
09-07-2014,16.1965,16.4703,16.1187,16.4589,63322000
10-07-2014,16.178,16.4594,16.0937,16.3566,53300000
11-07-2014,16.6953,17.3083,16.6953,17.2684,166016000
14-07-2014,17.3098,17.7458,17.2263,17.7233,112198000
15-07-2014,17.6435,17.7368,17.428,17.6794,83418000
16-07-2014,17.7383,17.9228,17.6076,17.7522,70072000
17-07-2014,17.6295,17.8051,17.5268,17.5802,72720000
18-07-2014,17.6774,17.9408,17.5617,17.8899,68148000
21-07-2014,17.862,18.042,17.7931,17.9448,45568000
22-07-2014,17.7198,18.1029,17.7198,17.9987,57778000
23-07-2014,17.9094,17.9882,17.7882,17.864,53746000
24-07-2014,17.9558,18.1987,17.8829,17.8874,140000000
25-07-2014,15.8269,16.2045,15.7002,16.1616,356930000
28-07-2014,16.1735,16.202,15.787,15.982,118640000
29-07-2014,16.0603,16.1062,15.9366,15.9616,57676000
30-07-2014,16.0339,16.0977,15.8867,16.0868,79380000
31-07-2014,15.9621,15.9957,15.5555,15.6119,103840000
01-08-2014,15.6468,15.7536,15.1929,15.3161,148830000
04-08-2014,15.4049,15.771,15.3879,15.6448,84018000
05-08-2014,15.6274,15.6897,15.4658,15.5785,57042000
06-08-2014,15.5042,15.7511,15.4727,15.6568,45938000
07-08-2014,15.7226,15.7559,15.4455,15.5351,58712000
08-08-2014,15.5595,15.8279,15.4957,15.8019,54118000
11-08-2014,15.8857,15.9805,15.8059,15.8783,49372000
12-08-2014,15.9062,16.0269,15.8094,15.9276,38316000
13-08-2014,16.3406,16.5461,16.2678,16.2748,98782000
14-08-2014,16.3506,16.6644,16.2963,16.6205,68408000
15-08-2014,16.6599,16.7098,16.3766,16.6414,77934000
18-08-2014,16.7337,16.8494,16.6484,16.6863,49708000
19-08-2014,16.7033,16.7502,16.6105,16.7162,34276000
20-08-2014,16.6938,16.8175,16.661,16.7487,36210000
21-08-2014,16.7836,16.7887,16.5716,16.6055,39422000
22-08-2014,16.6095,16.6639,16.5003,16.5397,44224000
25-08-2014,16.6205,16.798,16.5955,16.6609,39154000
26-08-2014,16.8095,17.1766,16.6873,17.0504,72764000
27-08-2014,17.0634,17.2919,17.026,17.1178,59232000
28-08-2014,16.9592,17.0484,16.8993,16.9602,45054000
29-08-2014,17.0469,17.0499,16.8434,16.9113,38790000
02-09-2014,16.9582,17.0839,16.8174,17.0779,46520000
03-09-2014,17.0858,17.1223,16.8369,16.9093,39874000
04-09-2014,17.1432,17.427,17.1377,17.2559,79044000
05-09-2014,17.2734,17.2997,17.0839,17.2774,42140000
08-09-2014,17.1856,17.249,16.9113,17.0759,59106000
09-09-2014,17.0395,17.0469,16.4195,16.4479,92680000
10-09-2014,16.6748,16.7088,16.4015,16.5267,75948000
11-09-2014,16.4574,16.6105,16.2803,16.4863,54404000
12-09-2014,16.4384,16.6045,16.4,16.5197,68586000
15-09-2014,16.5057,16.5267,15.9117,16.1556,80008000
16-09-2014,16.0149,16.4344,15.9665,16.3486,65198000
17-09-2014,16.3486,16.3606,16.0374,16.1611,82720000
18-09-2014,16.2329,16.3157,16.1466,16.211,51538000
19-09-2014,16.3406,16.5978,16.2394,16.5262,137724000
22-09-2014,16.385,16.4349,16.0144,16.186,62194000
23-09-2014,16.0843,16.3406,16.0239,16.1426,47052000
24-09-2014,16.1696,16.4324,15.9396,16.3711,52715080
25-09-2014,16.3601,16.3875,16.0314,16.0578,58504820
26-09-2014,15.9915,16.1361,15.8438,16.1217,72783100
29-09-2014,15.9865,16.1486,15.9117,16.0523,38591780
30-09-2014,16.0294,16.1326,15.8872,16.0833,52799340
01-10-2014,16.0633,16.0695,15.7396,15.8349,61934700
02-10-2014,15.8079,15.8882,15.5281,15.8822,71078880
03-10-2014,15.9795,16.2189,15.9381,16.0982,60757820
06-10-2014,16.1361,16.1676,15.9416,16.0713,45883880
07-10-2014,15.9331,16.0613,15.7955,15.8109,47313960
08-10-2014,15.791,16.1666,15.6693,16.0962,69179200
09-10-2014,16.0359,16.0748,15.6882,15.7306,71789280
10-10-2014,15.6633,15.8503,15.5316,15.5321,73686280
13-10-2014,15.4563,15.6224,15.137,15.2857,87397000
14-10-2014,15.363,15.5745,15.2508,15.3785,67716180
15-10-2014,15.1809,15.358,14.9192,15.2617,106965080
16-10-2014,14.6562,15.3041,14.6562,15.1066,94637320
17-10-2014,15.3206,15.4229,15.0996,15.1455,88184360
20-10-2014,15.1111,15.2897,15.0647,15.2737,64789800
21-10-2014,15.4578,15.7441,15.3166,15.7286,71267020
22-10-2014,15.7336,15.9107,15.5944,15.6109,62600980
23-10-2014,15.6323,15.8019,15.5326,15.6214,180763860
24-10-2014,14.1858,14.6552,14.1659,14.3185,396118220
27-10-2014,14.2507,14.4861,14.2168,14.4637,119011880
28-10-2014,14.4532,14.8642,14.4532,14.744,111532920
29-10-2014,14.9196,14.9445,14.6183,14.6707,97665180
30-10-2014,14.6637,14.951,14.5829,14.9176,81103100
31-10-2014,15.2208,15.2493,15.0388,15.2363,91035900
03-11-2014,15.2752,15.3635,15.1256,15.2493,64883000
04-11-2014,15.163,15.1759,14.9724,15.1041,68547680
05-11-2014,15.1141,15.1635,14.6727,14.7904,93489840
06-11-2014,14.7989,14.8143,14.5794,14.7964,75162420
07-11-2014,14.8552,14.9635,14.7789,14.957,52947040
10-11-2014,14.964,15.2532,14.964,15.2188,56181120
11-11-2014,15.2602,15.5815,15.1458,15.563,76146660
12-11-2014,15.5002,15.5914,15.4024,15.5381,43659640
13-11-2014,15.5625,15.8563,15.5381,15.786,73728560
14-11-2014,15.8179,16.604,15.782,16.3516,177555700
17-11-2014,16.2828,16.3606,15.8633,16.1137,95698660
18-11-2014,16.1606,16.4384,16.1237,16.2075,71023220
19-11-2014,16.3232,16.3805,16.1621,16.2878,65632280
20-11-2014,16.1611,16.5935,16.1277,16.4873,68734420
21-11-2014,16.7307,16.8759,16.5337,16.5915,89331740
24-11-2014,16.6988,16.829,16.6399,16.7417,55083720
25-11-2014,16.7232,16.7762,16.5242,16.7118,51299780
26-11-2014,16.6489,16.6923,16.5476,16.6384,39718980
28-11-2014,16.7611,17.022,16.7611,16.8913,61035960
01-12-2014,16.8654,16.9911,16.2573,16.2608,98897220
02-12-2014,16.3357,16.3571,16.1237,16.2763,55805140
03-12-2014,16.2474,16.2992,15.6802,15.787,113798080
04-12-2014,15.7386,15.8912,15.6358,15.8084,65932840
05-12-2014,15.8019,15.8084,15.5047,15.5939,65304280
08-12-2014,15.5411,15.79,15.2044,15.2952,72783600
09-12-2014,15.1131,15.6443,15.0208,15.5875,80990120
10-12-2014,15.5625,15.6219,15.1974,15.2553,64917800
11-12-2014,15.3575,15.5944,15.2637,15.3311,65458380
12-12-2014,15.163,15.4947,15.1141,15.3291,63246440
15-12-2014,15.4064,15.5057,15.0712,15.2667,76831540
16-12-2014,15.1809,15.1879,14.7151,14.7176,130025040
17-12-2014,14.7829,14.9475,14.6163,14.9081,88670100
18-12-2014,15.164,15.1884,14.6273,14.8507,154761340
19-12-2014,14.8098,15.0408,14.7405,14.959,174182580
22-12-2014,15.0607,15.3311,15.0607,15.2902,80076540
23-12-2014,15.3121,15.3376,15.1262,15.2775,54367180
24-12-2014,15.2822,15.3131,15.1074,15.1151,30362140
26-12-2014,15.2134,15.5017,15.154,15.4174,57876020
29-12-2014,15.3555,15.6757,15.2922,15.5645,60180920
30-12-2014,15.4583,15.6593,15.4298,15.4777,41860460
31-12-2014,15.5401,15.6114,15.4633,15.4802,41155320
02-01-2015,15.5914,15.6997,15.3111,15.3889,55762020
05-01-2015,15.3136,15.382,15.0064,15.0732,55484620
06-01-2015,15.0757,15.1136,14.5839,14.729,70380680
07-01-2015,14.8393,15.0278,14.731,14.8851,52806980
08-01-2015,14.9799,15.1206,14.7699,14.9869,61767960
09-01-2015,15.0378,15.1071,14.7984,14.8108,51418940
12-01-2015,14.8423,14.8896,14.4293,14.5355,68427840
13-01-2015,14.8383,15.0387,14.6263,14.7016,82728840
14-01-2015,14.5614,14.76,14.2907,14.6283,110773320
15-01-2015,14.6647,14.7644,14.3063,14.313,88383920
16-01-2015,14.2796,14.5046,14.2282,14.5021,69563520
20-01-2015,14.5943,14.6328,14.2851,14.4372,61501620
21-01-2015,14.4472,15.2632,14.3285,14.8268,201301520
22-01-2015,14.964,15.575,14.964,15.4787,107252800
23-01-2015,15.367,15.8084,15.349,15.582,89928380
26-01-2015,15.5535,15.6124,15.3391,15.4458,63393300
27-01-2015,15.2782,15.4749,15.0949,15.3006,58406300
28-01-2015,15.4533,15.5381,15.1535,15.159,61275480
29-01-2015,15.1999,15.6024,14.9305,15.5515,173131340
30-01-2015,17.2744,17.9318,16.9961,17.6839,477121200
02-02-2015,17.4604,18.2062,17.4585,18.1797,204638280
03-02-2015,17.9712,18.3467,17.9672,18.1338,124251300
04-02-2015,17.8759,18.3309,17.8685,18.1937,83398540
05-02-2015,18.256,18.8945,18.251,18.6496,144952100
06-02-2015,18.6985,18.7543,18.5059,18.669,77847640
09-02-2015,18.5054,18.6755,18.3159,18.4835,54492600
10-02-2015,18.5149,18.67,18.3812,18.6049,45744640
11-02-2015,18.5169,18.8097,18.5104,18.7119,55730460
12-02-2015,18.7099,18.88,18.6127,18.8132,55821000
13-02-2015,18.875,19.104,18.8052,19.0456,69501380
17-02-2015,18.8406,18.9536,18.5887,18.7264,73464160
18-02-2015,18.6441,18.7917,18.5977,18.6236,53012200
19-02-2015,18.6296,19.0481,18.6266,18.9042,59075040
20-02-2015,18.8855,19.1389,18.7468,19.1369,65160460
23-02-2015,19.1259,19.1808,18.8546,18.9613,43539780
24-02-2015,18.887,18.9783,18.7628,18.884,38437000
25-02-2015,18.8182,19.3459,18.7818,19.2222,63489900
26-02-2015,19.1574,19.4217,19.118,19.1938,53742140
27-02-2015,19.1539,19.2531,18.9439,18.9623,50646180
02-03-2015,18.9967,19.2486,18.9285,19.2364,42784100
03-03-2015,19.1514,19.2586,19.0342,19.1843,38929960
04-03-2015,19.2392,19.3484,19.0636,19.09,45182820
05-03-2015,19.2342,19.3742,19.1484,19.3449,53870360
06-03-2015,19.2297,19.3035,18.8985,18.9588,52540840
09-03-2015,18.8745,18.9209,18.7189,18.8825,46227800
10-03-2015,18.8272,18.8431,18.4146,18.4311,62419440
11-03-2015,18.486,18.6226,18.269,18.2745,49901940
12-03-2015,18.3967,18.7299,18.3318,18.667,56200020
13-03-2015,18.5314,18.6546,18.2899,18.4845,52233160
16-03-2015,18.4745,18.6521,18.2919,18.6226,47081180
17-03-2015,18.5109,18.68,18.4376,18.5513,40739220
18-03-2015,18.4541,18.7543,18.2909,18.7117,53082700
19-03-2015,18.6486,18.8102,18.5648,18.6172,38313420
20-03-2015,18.7693,18.9229,18.7508,18.879,75271060
23-03-2015,18.8581,19.0426,18.702,18.7104,44786860
24-03-2015,18.6546,18.7169,18.5688,18.6596,44564280
25-03-2015,18.7134,18.9793,18.4698,18.5034,68589940
26-03-2015,18.4351,18.5254,18.2386,18.3234,58599240
27-03-2015,18.3114,18.6137,18.2846,18.4835,52195480
30-03-2015,18.5488,18.7608,18.5329,18.6845,36418660
31-03-2015,18.6172,18.8396,18.5309,18.5603,50122440
01-04-2015,18.5603,18.6132,18.3727,18.4683,49161900
02-04-2015,18.4805,18.6192,18.4057,18.5678,37505580
06-04-2015,18.4605,18.9643,18.4236,18.8067,61014180
07-04-2015,18.7623,18.9199,18.6566,18.6755,39098040
08-04-2015,18.688,19.0332,18.6875,19.0142,52728680
09-04-2015,18.9873,19.1748,18.8942,19.1309,47846560
10-04-2015,19.1693,19.3095,19.0199,19.0865,51470380
13-04-2015,19.1304,19.2177,18.9613,19.0721,37889060
14-04-2015,19.1294,19.3439,19.0147,19.2092,51671500
15-04-2015,19.1863,19.2427,19.0362,19.1264,38664580
